term,length,letterCount,numberCount,spaceCount,startsWithNumber,endsWithNumber,isPartNumber
292460000,9,0,9,0,1,1,1
2.93E+14,16,0,16,0,1,1,1
2945,4,0,4,0,1,1,1
2.95E+14,16,0,16,0,1,1,1
296514,6,0,6,0,1,1,1
2965142,7,0,7,0,1,1,1
2965867,7,0,7,0,1,1,1
02965867l,9,1,8,0,1,0,1
296700000,9,0,9,0,1,1,1
2970,4,0,4,0,1,1,1
297003,6,0,6,0,1,1,1
297005,6,0,6,0,1,1,1
0297005.wxnv,12,4,7,0,1,0,1
0297007.5wxnv,13,4,8,0,1,0,1
297010,6,0,6,0,1,1,1
0297010.wxnv,12,4,7,0,1,0,1
297015,6,0,6,0,1,1,1
0297015.u,9,1,7,0,1,0,1
0297020.wxnv,12,4,7,0,1,0,1
0297025.wxnv,12,4,7,0,1,0,1
0297030.wxnv,12,4,7,0,1,0,1
029707.5l,9,1,7,0,1,0,1
2971962,7,0,7,0,1,1,1
02971962l,9,1,8,0,1,0,1
0298040.zxb,11,3,7,0,1,0,1
298080,6,0,6,0,1,1,1
029808080a,10,1,9,0,1,0,1
02981028hxfc,12,4,8,0,1,0,1
298125,6,0,6,0,1,1,1
0298125.zxeh,12,4,7,0,1,0,1
298150,6,0,6,0,1,1,1
0298150.zxeh,12,4,7,0,1,0,1
0298175.zxeh,12,4,7,0,1,0,1
0298200.zxeh,12,4,7,0,1,0,1
0298250.zxeh,12,4,7,0,1,0,1
0298500.zxh,11,3,7,0,1,0,1
0299030.l,9,1,7,0,1,0,1
0299030.zxnv,12,4,7,0,1,0,1
0299040.zxnv,12,4,7,0,1,0,1
299860000,9,0,9,0,1,1,1
02cz6.8yte85lf,14,7,6,0,1,0,1
02cz6.8yte85lf,14,7,6,0,1,0,1
02dd8m,6,3,3,0,1,0,1
02dd480,7,2,5,0,1,1,1
02k24340me3,11,3,8,0,1,1,1
02k3e6k01s5,11,4,7,0,1,1,1
02nre2r,7,4,3,0,1,0,1
02plebsstf,10,8,2,0,1,0,1
02rjwpf,7,5,2,0,1,0,1
02rjwpfvkles,12,10,2,0,1,0,1
02rjwpfvsles,12,10,2,0,1,0,1
02s1ams01s3,11,5,6,0,1,1,1
02tjwpfvsles,12,10,2,0,1,0,1
02x20p,6,2,4,0,1,0,1
02x25p,6,2,4,0,1,0,1
02z0012w9d,10,3,7,0,1,0,1
3021.001,9,0,8,0,1,1,1
3061023,8,0,8,0,1,1,1
3061022,8,0,8,0,1,1,1
3061023,8,0,8,0,1,1,1
3061062,8,0,8,0,1,1,1
362023,6,0,6,0,1,1,1
362024,6,0,6,0,1,1,1
362032,6,0,6,0,1,1,1
362033,6,0,6,0,1,1,1
362044,6,0,6,0,1,1,1
362061,6,0,6,0,1,1,1
362092,6,0,6,0,1,1,1
3091022,8,0,8,0,1,1,1
3091027,8,0,8,0,1,1,1
3091032,8,0,8,0,1,1,1
309104,7,0,7,0,1,1,1
3091042,8,0,8,0,1,1,1
3091061,8,0,8,0,1,1,1
3091081,8,0,8,0,1,1,1
392022,6,0,6,0,1,1,1
392024,6,0,6,0,1,1,1
392032,6,0,6,0,1,1,1
392041,6,0,6,0,1,1,1
392049,6,0,6,0,1,1,1
392061,6,0,6,0,1,1,1
392062,6,0,6,0,1,1,1
392092,6,0,6,0,1,1,1
392121,6,0,6,0,1,1,1
392159,6,0,6,0,1,1,1
397032,6,0,6,0,1,1,1
3121022,8,0,8,0,1,1,1
3121026,8,0,8,0,1,1,1
3122035,7,0,7,0,1,1,1
03250600a,9,1,8,0,1,0,1
32567900,9,0,9,0,1,1,1
3624.011,9,0,8,0,1,1,1
3901.2,7,0,6,0,1,1,1
3.008001,9,0,8,0,1,1,1
03.021.001,10,0,8,0,1,1,1
03.901.2,8,0,6,0,1,1,1
300887005,10,0,10,0,1,1,1
301953002,10,0,10,0,1,1,1
302097015,10,0,10,0,1,1,1
302409001,10,0,10,0,1,1,1
302409003,10,0,10,0,1,1,1
308586000,10,0,10,0,1,1,1
308587000,10,0,10,0,1,1,1
308614010,10,0,10,0,1,1,1
3E+14,16,0,16,0,1,1,1
3E+14,16,0,16,0,1,1,1
3E+14,16,0,16,0,1,1,1
3E+14,16,0,16,0,1,1,1
0300611.7k98g100,16,2,13,0,1,1,1
03010ss05naa,12,5,7,0,1,0,1
03010ss05naa00,14,5,9,0,1,1,1
03010ss24nat00,14,5,9,0,1,1,1
301498,6,0,6,0,1,1,1
03028bp100ajmt,14,6,8,0,1,0,1
3029,5,0,5,0,1,1,1
03029br102yjzmc,15,7,8,0,1,0,1
0302cs8n3xj,11,5,6,0,1,0,1
0304 05,7,0,6,1,1,1,1
0304.050hr,10,2,7,0,1,0,1
304067,6,0,6,0,1,1,1
30413,5,0,5,0,1,1,1
305,3,0,3,0,1,1,1
3.05E+14,16,0,16,0,1,1,1
3.05E+14,16,0,16,0,1,1,1
3.05E+14,16,0,16,0,1,1,1
3.05E+14,10,1,8,0,1,1,1
0306 capacitor,14,9,4,1,1,0,0
3062044,8,0,8,0,1,1,1
03063c103kat2a,14,5,9,0,1,0,1
0306zc104kat2a,14,6,8,0,1,0,1
307005147,9,0,9,0,1,1,1
0308 03,7,0,6,1,1,1,1
0308 04,7,0,6,1,1,1,1
0308.750ur,10,2,7,0,1,0,1
03081.25ur,10,2,7,0,1,0,1
3091041,7,0,7,0,1,1,1
3091094,7,0,7,0,1,1,1
3092042,7,0,7,0,1,1,1
3092062,7,0,7,0,1,1,1
311267000,10,0,10,0,1,1,1
311267001,10,0,10,0,1,1,1
31203,6,0,6,0,1,1,1
31208,6,0,6,0,1,1,1
31218,6,0,6,0,1,1,1
31219,6,0,6,0,1,1,1
31221,6,0,6,0,1,1,1
312315,7,0,7,0,1,1,1
312381,7,0,7,0,1,1,1
031315 crimper,14,7,6,1,1,0,0
031327rfx,9,3,6,0,1,0,1
314452,7,0,7,0,1,1,1
314803,7,0,7,0,1,1,1
3150565,8,0,8,0,1,1,1
315640,7,0,7,0,1,1,1
316728,7,0,7,0,1,1,1
316923,7,0,7,0,1,1,1
3170000,8,0,8,0,1,1,1
31700131000,12,0,12,0,1,1,1
3171059,8,0,8,0,1,1,1
317662000,10,0,10,0,1,1,1
318521010,10,0,10,0,1,1,1
318560000,10,0,10,0,1,1,1
318688110,10,0,10,0,1,1,1
318703000,10,0,10,0,1,1,1
318716032,10,0,10,0,1,1,1
318717021,10,0,10,0,1,1,1
318717120,10,0,10,0,1,1,1
319,4,0,4,0,1,1,1
319134001,10,0,10,0,1,1,1
311010040,9,0,9,0,1,1,1
311265,6,0,6,0,1,1,1
312,4,0,4,0,1,1,1
3.12E+14,16,0,16,0,1,1,1
312.5,5,0,4,0,1,1,1
0312.600mxp,11,3,7,0,1,0,1
312001,6,0,6,0,1,1,1
0312002.hxp,11,3,7,0,1,0,1
0312005.hxp,11,3,7,0,1,0,1
0312006.hxp,11,3,7,0,1,0,1
031202.5vxp,11,3,7,0,1,0,1
0312030.hxp,11,3,7,0,1,0,1
3122035,7,0,7,0,1,1,1
313,3,0,3,0,1,1,1
0313.150vxp,11,3,7,0,1,0,1
0313001.hxp,11,3,7,0,1,0,1
0313002.hxp,11,3,7,0,1,0,1
0313002.mxp,11,3,7,0,1,0,1
0313008.hxp,11,3,7,0,1,0,1
0313010.mxp,11,3,7,0,1,0,1
0313010mxp,10,3,7,0,1,0,1
0313015.mxp,11,3,7,0,1,0,1
0313015p,8,1,7,0,1,0,1
313020,6,0,6,0,1,1,1
31380801,8,0,8,0,1,1,1
0314.375hxp,11,3,7,0,1,0,1
314020,6,0,6,0,1,1,1
0314020.mx52lep,15,5,9,0,1,0,1
0314030.hxp,11,3,7,0,1,0,1
0314030.mxp,11,3,7,0,1,0,1
3.17E+14,16,0,16,0,1,1,1
0318 04,7,0,6,1,1,1,1
3.19E+14,16,0,16,0,1,1,1
031912udbd,10,4,6,0,1,0,1
32000264902,12,0,12,0,1,1,1
3.21E+14,16,0,16,0,1,1,1
3210,4,0,4,0,1,1,1
32204,6,0,6,0,1,1,1
0322020.hxp,11,3,7,0,1,0,1
322218,6,0,6,0,1,1,1
323010,6,0,6,0,1,1,1
0324020.mxp,11,3,7,0,1,0,1
0324030.mx52lp,14,4,9,0,1,0,1
0325007.hxp,11,3,7,0,1,0,1
0325020.mxdp,12,4,7,0,1,0,1
0325025.mxwf47p,15,5,9,0,1,0,1
0326003.mxp,11,3,7,0,1,0,1
0326004.mxp,11,3,7,0,1,0,1
0326015.hxp,11,3,7,0,1,0,1
0326015.mxp,11,3,7,0,1,0,1
03266.25mxp,11,3,7,0,1,0,1
0326625.mxp,11,3,7,0,1,0,1
3.27E+14,16,0,16,0,1,1,1
3.27E+14,16,0,16,0,1,1,1
0327010.yx2s,12,3,8,0,1,0,1
329901,6,0,6,0,1,1,1
032b,4,1,3,0,1,0,1
032k01,6,1,5,0,1,1,1
330122002,9,0,9,0,1,1,1
330122022,9,0,9,0,1,1,1
330950007,10,0,10,0,1,1,1
3.31E+14,16,0,16,0,1,1,1
3310,4,0,4,0,1,1,1
3.32E+14,16,0,16,0,1,1,1
0332010.mxp,11,3,7,0,1,0,1
332015008,9,0,9,0,1,1,1
3.34E+14,16,0,16,0,1,1,1
334710601,9,0,9,0,1,1,1
334721201,9,0,9,0,1,1,1
334724801,9,0,9,0,1,1,1
334824001,10,0,10,0,1,1,1
3.38E+14,16,0,16,0,1,1,1
3.38E+14,16,0,16,0,1,1,1
3.39E+14,16,0,16,0,1,1,1
3.39E+14,16,0,16,0,1,1,1
339015,6,0,6,0,1,1,1
033uf,5,2,3,0,1,0,1
341025,7,0,7,0,1,1,1
341042,7,0,7,0,1,1,1
341053,7,0,7,0,1,1,1
03400267z,9,1,8,0,1,0,1
03400313z,9,1,8,0,1,0,1
341,3,0,3,0,1,1,1
03420004hxp,11,3,8,0,1,0,1
03420006z,9,1,8,0,1,0,1
03420014h,9,1,8,0,1,0,1
03420024z,9,1,8,0,1,0,1
03420838h,9,1,8,0,1,0,1
03427.311.011,13,0,11,0,1,1,1
03437.311.011,13,0,11,0,1,1,1
3437311011,10,0,10,0,1,1,1
0343ls1h,8,3,5,0,1,0,1
344,3,0,3,0,1,1,1
3.44E+14,16,0,16,0,1,1,1
03440024h,9,1,8,0,1,0,1
03440250h,9,1,8,0,1,0,1
3447311011,10,0,10,0,1,1,1
03453ls7hxlnp,13,7,6,0,1,0,1
03455lf1hx020,13,4,9,0,1,1,1
03455ls8h,9,3,6,0,1,0,1
345760303,9,0,9,0,1,1,1
346900121,9,0,9,0,1,1,1
346900200,9,0,9,0,1,1,1
346916160,9,0,9,0,1,1,1
348033213,9,0,9,0,1,1,1
348240240,10,0,10,0,1,1,1
348240204,9,0,9,0,1,1,1
348302001,9,0,9,0,1,1,1
348996080,9,0,9,0,1,1,1
349587341,9,0,9,0,1,1,1
349590341,9,0,9,0,1,1,1
034b104k50,10,2,8,0,1,1,1
3518,5,0,5,0,1,1,1
3.5E+14,16,0,16,0,1,1,1
3504.001,9,0,8,0,1,1,1
35256,5,0,5,0,1,1,1
353620450,9,0,9,0,1,1,1
353620650,9,0,9,0,1,1,1
03540001zxgy,12,4,8,0,1,0,1
03540101zxgy,12,4,8,0,1,0,1
03540501z,9,1,8,0,1,0,1
03540503z,9,1,8,0,1,0,1
03540544z,9,1,8,0,1,0,1
03540551z,9,1,8,0,1,0,1
354361203,9,0,9,0,1,1,1
3.55E+14,16,0,16,0,1,1,1
355720300,9,0,9,0,1,1,1
356,3,0,3,0,1,1,1
3.57E+14,16,0,16,0,1,1,1
357491310,9,0,9,0,1,1,1
359030023,9,0,9,0,1,1,1
35970,5,0,5,0,1,1,1
036 capacitors,14,10,3,1,1,0,0
3.61E+11,13,0,13,0,1,1,1
3.62E+14,16,0,16,0,1,1,1
3.62E+14,16,0,16,0,1,1,1
3.63E+14,16,0,16,0,1,1,1
3.64E+14,16,0,16,0,1,1,1
365110025,9,0,9,0,1,1,1
3.66E+14,16,0,16,0,1,1,1
3.66E+14,16,0,16,0,1,1,1
366380002,9,0,9,0,1,1,1
3.68E+14,16,0,16,0,1,1,1
369210600,9,0,9,0,1,1,1
3.7E+14,16,0,16,0,1,1,1
37103482969,11,0,11,0,1,1,1
0374 0420 006 1,15,0,12,3,1,1,1
3.75E+14,16,0,16,0,1,1,1
380021290,9,0,9,0,1,1,1
03853qdcarq1,12,6,6,0,1,1,1
386317216,9,0,9,0,1,1,1
387206320,9,0,9,0,1,1,1
387207506,9,0,9,0,1,1,1
387700106,9,0,9,0,1,1,1
387700108,9,0,9,0,1,1,1
387800105,9,0,9,0,1,1,1
390243000,10,0,10,0,1,1,1
39000038,8,0,8,0,1,1,1
39000040,8,0,8,0,1,1,1
3900081,7,0,7,0,1,1,1
39012025,8,0,8,0,1,1,1
39013028,8,0,8,0,1,1,1
039115d3103cqu7,15,4,11,0,1,1,1
39299027,9,0,9,0,1,1,1
39299027,8,0,8,0,1,1,1
393570002,9,0,9,0,1,1,1
393570009,9,0,9,0,1,1,1
393570015,9,0,9,0,1,1,1
393570020,9,0,9,0,1,1,1
395515,7,0,7,0,1,1,1
3.96E+14,16,0,16,0,1,1,1
395300003,9,0,9,0,1,1,1
395316004,9,0,9,0,1,1,1
395316005,9,0,9,0,1,1,1
395443003,9,0,9,0,1,1,1
0399t208,8,1,7,0,1,1,1
03c220k1gcauto,14,8,6,0,1,0,1
03k30rmsos3,11,6,5,0,1,1,1
03k30rmsots3,12,7,5,0,1,1,1
03rjwpfvsles,12,10,2,0,1,0,1
03seeg3h,8,5,3,0,1,0,1
03sr3s,6,3,3,0,1,0,1
03x8736,7,1,6,0,1,1,1
03zr,4,2,2,0,1,0,1
04 6288 040 001 846,19,0,15,4,1,1,1
04 6809 610 110 846,19,0,15,4,1,1,1
4005401,8,0,8,0,1,1,1
40734124,9,0,9,0,1,1,1
4081102,8,0,8,0,1,1,1
40979,6,0,6,0,1,1,1
4.62E+13,15,0,15,0,1,1,1
4.62E+13,15,0,15,0,1,1,1
4.63E+13,15,0,15,0,1,1,1
463370050,10,0,10,0,1,1,1
4.0056,6,0,5,0,1,1,1
401325500,10,0,10,0,1,1,1
04000025wr,10,2,8,0,1,0,1
0400632hn,9,2,7,0,1,0,1
04010sa 12n atd 0 phr 3 sph 002 p0.55,37,13,15,8,1,1,1
04010ss12naa00,14,5,9,0,1,1,1
04010ss24nat00,14,5,9,0,1,1,1
402,3,0,3,0,1,1,1
0402  20 1uf x5r 16v,20,5,10,5,1,0,0
0402 0 ohm,10,3,5,2,1,0,0
0402 0.01uf,11,2,7,1,1,0,0
0402 0.022,10,0,8,1,1,1,1
0402 0.1 ohm,12,3,6,2,1,0,0
0402 0.1uf,10,2,6,1,1,0,0
0402 0.1uf 25v,14,3,8,2,1,0,0
0402 0.25w,10,1,7,1,1,0,0
0402 0.8pf,10,2,6,1,1,0,0
0402 0ohm,9,3,5,1,1,0,0
0402 0ohm 1 amp resistor,24,14,6,4,1,0,0
0402 0ohm resistor,18,11,5,2,1,0,0
0402 0r,7,1,5,1,1,0,1
0402 0r5,8,1,6,1,1,1,1
0402 100 resistor,17,8,7,2,1,0,0
0402 100k,9,1,7,1,1,0,0
0402 100k 0.1,13,1,9,2,1,1,0
0402 100n,9,1,7,1,1,0,1
0402 100n 16v,13,2,9,2,1,0,0
0402 100nf,10,2,7,1,1,0,0
0402 100nf 16v x7r 10,21,5,12,4,1,1,0
0402 100nf 25v x5r 10,21,5,12,4,1,1,0
0402 100nf 25v x7r 10,21,5,12,4,1,1,0
0402 100nf x7r,14,4,8,2,1,0,0
0402 100ohms,12,4,7,1,1,0,0
0402 100pf,10,2,7,1,1,0,0
0402 100v 100pf,15,3,10,2,1,0,0
0402 103,8,0,7,1,1,1,1
0402 104k 16v x7r,17,4,10,3,1,0,0
0402 10k,8,1,6,1,1,0,1
0402 10k 0.01,13,1,9,2,1,1,1
0402 10k 0.1w 5,15,2,9,3,1,1,1
0402 10k 5 100mw,16,3,10,3,1,0,1
0402 10nf 50v c0g 5,19,5,10,4,1,1,0
0402 10nf npo,13,5,6,2,1,0,0
0402 10uf,9,2,6,1,1,0,0
0402 10uf 6.3v x6s,18,5,9,3,1,0,0
0402 10uf x6s,13,4,7,2,1,0,0
0402 12k,8,1,6,1,1,0,1
0402 12k4 116w,14,2,10,2,1,0,1
0402 15k,8,1,6,1,1,0,1
0402 15nf,9,2,6,1,1,0,0
0402 18k 1,10,1,7,2,1,1,1
0402 1m,7,1,5,1,1,0,0
0402 1n 16v,11,2,7,2,1,0,0
0402 1nf,8,2,5,1,1,0,0
0402 1pf,8,2,5,1,1,0,0
0402 1uf,8,2,5,1,1,0,0
0402 20m resistor,17,9,6,2,1,0,0
0402 20ma white led,19,10,6,3,1,0,0
0402 22 k,9,1,6,2,1,0,0
0402 220nf,10,2,7,1,1,0,0
0402 22k ohms 5,15,5,7,3,1,1,0
0402 22nf,9,2,6,1,1,0,0
0402 22uf,9,2,6,1,1,0,0
0402 27pf,9,2,6,1,1,0,0
0402 2uf,8,2,5,1,1,0,0
0402 3.3k,9,1,6,1,1,0,0
0402 3.6 kohms,14,5,6,2,1,0,0
0402 3.9k 1,11,1,7,2,1,1,0
0402 30k 0.01,13,1,9,2,1,1,0
0402 30k 1,10,1,7,2,1,1,0
0402 32k,8,1,6,1,1,0,0
0402 32k 1,10,1,7,2,1,1,0
0402 330 ohm yageo,18,8,7,3,1,0,0
0402 330pf 50v,14,3,9,2,1,0,0
0402 33k,8,1,6,1,1,0,0
0402 33nf 10,12,2,8,2,1,1,0
0402 393 100v,13,1,10,2,1,0,0
0402 3k,7,1,5,1,1,0,0
0402 3m,7,1,5,1,1,0,0
0402 3pf,8,2,5,1,1,0,0
0402 4.7k,9,1,6,1,1,0,0
0402 4.7uf,10,2,6,1,1,0,0
0402 4.7uf 16v,14,3,8,2,1,0,0
0402 4.7uh,10,2,6,1,1,0,0
0402 43r,8,1,6,1,1,0,1
0402 470nf,10,2,7,1,1,0,0
0402 470nf 16v x5r 10,21,5,12,4,1,1,0
0402 475 10v,12,1,9,2,1,0,0
0402 47uf,9,2,6,1,1,0,0
0402 5.11k,10,1,7,1,1,0,0
0402 50,7,0,6,1,1,1,1
0402 50 ohms,12,4,6,2,1,0,0
0402 500 0.1,12,0,9,2,1,1,1
0402 50v 1uf,12,3,7,2,1,0,0
0402 51,7,0,6,1,1,1,1
0402 51k,8,1,6,1,1,0,1
0402 6.8k 1,11,1,7,2,1,1,1
0402 6.8nh yageo,16,7,6,2,1,0,0
0402 680pf 50v,14,3,9,2,1,0,0
0402 681r,9,1,7,1,1,0,1
0402 6k9,8,1,6,1,1,1,1
0402 9.1k,9,1,6,1,1,0,0
0402 9.1k 0.01,14,1,9,2,1,1,0
0402 cap,8,3,4,1,1,0,0
0402 capacitor,14,9,4,1,1,0,0
0402 capacitor book,19,13,4,2,1,0,0
0402 capacitors,15,10,4,1,1,0,0
0402 diode,10,5,4,1,1,0,0
0402 era 100k,13,4,7,2,1,0,0
0402 ferrite bead,17,11,4,2,1,0,0
0402 fuse,9,4,4,1,1,0,0
0402 led,8,3,4,1,1,0,0
0402 leds,9,4,4,1,1,0,0
0402 mlcc cap,13,7,4,2,1,0,0
0402 mlcc capacitor,19,13,4,2,1,0,0
0402 murata 1pf,15,8,5,2,1,0,0
0402 npos,9,4,4,1,1,0,0
0402 res,8,3,4,1,1,0,0
0402 resistor,13,8,4,1,1,0,0
0402 resistor book,18,12,4,2,1,0,0
0402 resistor kit,17,11,4,2,1,0,0
0402 resistor yageo,19,13,4,2,1,0,0
0402 resistors,14,9,4,1,1,0,0
0402 resistoryageo,18,13,4,1,1,0,0
0402 sample kit,15,9,4,2,1,0,0
0402 smdsmt resistor kits,25,18,4,3,1,0,0
0402 uf,7,2,4,1,1,0,0
0402 x5r,8,2,5,1,1,0,1
0402 x5r 0.02,13,2,8,2,1,1,1
0402 x5r 0.033,14,2,9,2,1,1,1
0402 x5r 6.3v 10uf 20,21,5,11,4,1,1,0
0402 x7r 1uf 10v,16,5,8,3,1,0,0
0402 x7r 1uf 16v,16,5,8,3,1,0,0
0402 x7r 475 100,16,2,11,3,1,1,1
0402fx27r0,10,3,7,0,1,1,1
0402x5r105k35v,14,4,10,0,1,0,1
0402 0r 50v,11,2,7,2,1,0,0
040218pf16v,11,3,8,0,1,0,1
040222pf16v,11,3,8,0,1,0,1
040227pf16v,11,3,8,0,1,0,1
0402182kr 10.35mm 0.05mm116w,28,7,17,2,1,0,0
0402182kr 10.35mm 0.05mm1,25,6,15,2,1,1,0
04020va05qal00,14,5,9,0,1,1,1
04020va12qca00,14,5,9,0,1,1,1
04020va24lat00,14,5,9,0,1,1,1
04020va24pat00,14,5,9,0,1,1,1
402174,6,0,6,0,1,1,1
04021j0r8pbstr500,17,7,10,0,1,1,1
04021jr05zbstr,14,7,7,0,1,0,1
040222r0,8,1,7,0,1,1,1
04023a100fat2a,14,5,9,0,1,0,1
04023a100kat2a,14,5,9,0,1,0,1
04023a101jat,12,4,8,0,1,0,1
04023a101jat2a,14,5,9,0,1,0,1
04023a220jat2a,14,5,9,0,1,0,1
04023a2r7cat2a,14,6,8,0,1,0,1
04023a330jat2a,14,5,9,0,1,0,1
04023a470jat2a,14,5,9,0,1,0,1
04023c102kat2a,14,5,9,0,1,0,1
04023c103kat2a,14,5,9,0,1,0,1
04023c103mat2a,14,5,9,0,1,0,1
04023c104jat2a,14,5,9,0,1,0,1
04023c104kat2a,14,5,9,0,1,0,1
04023c104kat2a62,16,5,11,0,1,1,1
04023c151jat2a,14,5,9,0,1,0,1
04023c223jat2a,14,5,9,0,1,0,1
04023c332kat2a,14,5,9,0,1,0,1
04023c472kat2a,14,5,9,0,1,0,1
04023c821jat2a,14,5,9,0,1,0,1
04023d103kat4a,14,5,9,0,1,0,1
04023d105kat2a,14,5,9,0,1,0,1
04023d474kat2a,14,5,9,0,1,0,1
04023j0r7bbstr,14,7,7,0,1,0,1
04023j0r8pbstr,14,7,7,0,1,0,1
04023j1r3abstr,14,7,7,0,1,0,1
04023j5r0bbstr,14,7,7,0,1,0,1
04023jr75pbstr,14,7,7,0,1,0,1
04023k120,9,1,8,0,1,1,1
04023k120fbstr,14,6,8,0,1,0,1
04023k150fbstr,14,6,8,0,1,0,1
04023k180fbstr,14,6,8,0,1,0,1
04023k5r1abstr,14,7,7,0,1,0,1
04023u100fat2a,14,5,9,0,1,0,1
04024d475mat2a,14,5,9,0,1,0,1
04025a100cat2a,14,5,9,0,1,0,1
04025a100dat2a,14,5,9,0,1,0,1
04025a100fat2a,14,5,9,0,1,0,1
04025a100jat2a,14,5,9,0,1,0,1
04025a100kat2a,14,5,9,0,1,0,1
04025a101fat2a,14,5,9,0,1,0,1
04025a101jat,12,4,8,0,1,0,1
04025a101jat2a,14,5,9,0,1,0,1
04025a101jat4a,14,5,9,0,1,0,1
04025a102fat2a,14,5,9,0,1,0,1
04025a103kat2a,14,5,9,0,1,0,1
04025a104kat2a,14,5,9,0,1,0,1
04025a120jat2a,14,5,9,0,1,0,1
04025a121jat2a,14,5,9,0,1,0,1
04025a150fat2a,14,5,9,0,1,0,1
04025a150jat2a,14,5,9,0,1,0,1
04025a151jat,12,4,8,0,1,0,1
04025a180jat2a,14,5,9,0,1,0,1
04025a181fat2a,14,5,9,0,1,0,1
04025a181jat2a,14,5,9,0,1,0,1
04025a1r0bat2a,14,6,8,0,1,0,1
04025a1r5bat,12,5,7,0,1,0,1
04025a1r5bat2a,14,6,8,0,1,0,1
04025a200jat2a,14,5,9,0,1,0,1
04025a220fat2a,14,5,9,0,1,0,1
04025a220jat2a,14,5,9,0,1,0,1
04025a220kat2a,14,5,9,0,1,0,1
04025a221jat2a,14,5,9,0,1,0,1
04025a270fat2a,14,5,9,0,1,0,1
04025a270jat2a,14,5,9,0,1,0,1
04025a2r2cat2a,14,6,8,0,1,0,1
04025a2r4bat2a,14,6,8,0,1,0,1
04025a2r7cat2,13,5,8,0,1,1,1
04025a300jat2a,14,5,9,0,1,0,1
04025a330jat2a,14,5,9,0,1,0,1
04025a331jat2a,14,5,9,0,1,0,1
04025a390fat2a,14,5,9,0,1,0,1
04025a471jat2a,14,5,9,0,1,0,1
04025a4r7bat4a,14,6,8,0,1,0,1
04025a4r7jat,12,5,7,0,1,0,1
04025a680fat2a,14,5,9,0,1,0,1
04025a6r8cat2a,14,6,8,0,1,0,1
30344729,8,0,8,0,1,1,1
BC857CE6327,11,4,7,0,0,1,1
REF2030AIDDCR REF3125AIDBZR REF3312AIDCKT REF3325AIDCKR RF2946000,65,38,23,4,0,1,1
AC0603FR07127RL,15,6,9,0,0,0,1
AC0603FR0714KL,14,6,8,0,0,0,1
AC0603FR0712R1L,15,6,9,0,0,0,1
2019992242,10,0,10,0,1,1,1
1482278757,10,0,10,0,1,1,1
1581912771,10,0,10,0,1,1,1
RPEF51H22,9,5,4,0,0,1,1
VND7012AYTR,11,7,4,0,0,0,1
ZL40200LDF1,11,5,6,0,0,1,1
C4532X7T2J224K200KE,19,7,12,0,0,0,1
287344230,9,0,9,0,1,1,1
39843520,8,0,8,0,1,1,1
1316153338,10,0,10,0,1,1,1
2005308422,10,0,10,0,1,1,1
RPEE42A47,9,5,4,0,0,1,1
22920904,8,0,8,0,1,1,1
2013034372,10,0,10,0,1,1,1
AC0603FR07143KL,15,6,9,0,0,0,1
AC0603FR07150KL,15,6,9,0,0,0,1
AQ147M4R7CAJME,14,9,5,0,0,0,1
2005660303,10,0,10,0,1,1,1
51233221,8,0,8,0,1,1,1
1870216514,10,0,10,0,1,1,1
857112069,9,0,9,0,1,1,1
72055409,8,0,8,0,1,1,1
2081433,7,0,7,0,1,1,1
3005905,7,0,7,0,1,1,1
2021224400,10,0,10,0,1,1,1
IMSA9210B104Z172PT1,19,8,11,0,0,1,1
2021224400,10,0,10,0,1,1,1
DRV8830EVM,10,6,4,0,0,0,1
520641392,9,0,9,0,1,1,1
LBRNJ10165GL2R2NN,17,10,7,0,0,0,1
254066865,9,0,9,0,1,1,1
1522309425,10,0,10,0,1,1,1
2002541062,10,0,10,0,1,1,1
11271685,8,0,8,0,1,1,1
1703697040,10,0,10,0,1,1,1
2314363,7,0,7,0,1,1,1
RPEE41H33,9,5,4,0,0,1,1
602951807,9,0,9,0,1,1,1
2.11E+15,16,0,16,0,1,1,1
40461695,8,0,8,0,1,1,1
1468356020,10,0,10,0,1,1,1
391740941,9,0,9,0,1,1,1
PBSS4041SPN115,14,7,7,0,0,1,1
599101,6,0,6,0,1,1,1
RDER72D10,9,5,4,0,0,1,1
322734998,9,0,9,0,1,1,1
diode kit,9,8,0,1,0,0,0
1316153338,10,0,10,0,1,1,1
1581912771,10,0,10,0,1,1,1
243784616,9,0,9,0,1,1,1
2002535388,10,0,10,0,1,1,1
2014941080,10,0,10,0,1,1,1
1438212986,10,0,10,0,1,1,1
2019200524,10,0,10,0,1,1,1
68301827,8,0,8,0,1,1,1
1484225516,10,0,10,0,1,1,1
2009795565,10,0,10,0,1,1,1
487960518,9,0,9,0,1,1,1
2020013912,10,0,10,0,1,1,1
1732884,7,0,7,0,1,1,1
2019186124,10,0,10,0,1,1,1
3184083,7,0,7,0,1,1,1
2019185421,10,0,10,0,1,1,1
423507917,9,0,9,0,1,1,1
2002838760,10,0,10,0,1,1,1
887493588,9,0,9,0,1,1,1
1950682773,10,0,10,0,1,1,1
1950683346,10,0,10,0,1,1,1
2020013479,10,0,10,0,1,1,1
2002787904,10,0,10,0,1,1,1
2157688,7,0,7,0,1,1,1
1363906239,10,0,10,0,1,1,1
42892867,8,0,8,0,1,1,1
68489323,8,0,8,0,1,1,1
2357213,7,0,7,0,1,1,1
HM73S15XXXLF,12,8,4,0,0,0,1
